"link","type","code", "crs"
"http://data.earthenv.org/streams/monthly_tmax_weighted_average.nc","Freshwater ecosystems","Upstream landcover coverage (range)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/monthly_tmin_average.nc","Freshwater ecosystems","Upstream landcover coverage (average)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/monthly_tmin_weighted_average.nc","Freshwater ecosystems","Upstream landcover coverage (distance-weighted average)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/quality_control.nc","Freshwater ecosystems","Upstream geology (distance-weighted count)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/slope.nc","Freshwater ecosystems","Upstream soil (minimum)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/soil_average.nc","Freshwater ecosystems","Upstream soil (maximum)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/soil_maximum.nc","Freshwater ecosystems","Upstream soil (range)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/soil_minimum.nc","Freshwater ecosystems","Upstream soil (average)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/soil_range.nc","Freshwater ecosystems","Upstream soil (distance-weighted average)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/soil_weighted_average.nc","Freshwater ecosystems","Quality control layers", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://mirrors.iplantcollaborative.org/earthenv_dem_data/EarthEnv-DEM90/EarthEnv-DEM90_","DEM90","DEM90", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
